ISO_3DIGIT,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,Monthly Average,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,name
CAN,-12.31980994,-9.856444237,-1.689900412,14.3825349,31.48370463,45.03178257,51.9920321,49.12739243,38.21704594,24.15459372,5.89530698,-6.741119372,19.1397567,28.74,23.17,25.31,24.86,32.82,48.52,58.91,56.43,48.66,41.36,36.86,31.83,38.1224211,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Canada
CHE,26.17332989,27.817341,32.16232998,38.02599703,45.39370993,51.40399985,55.46265988,54.58083992,50.24536011,42.94533999,33.895013,28.47365702,40.54830331,119.89,109.51,120.32,140.74,153.69,169.22,161.65,176.28,128.83,111.85,128.52,125.92,137.2010379,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Switzerland
CHL,54.82848214,53.96731443,51.55737963,47.50979714,43.31808588,39.91615384,39.27929529,40.70543367,43.37276203,46.79956595,50.20880054,53.32500478,47.06569095,33.81,34.03,35.28,47.04,81.51,84.41,88,73.37,48.92,37.81,30.75,36.24,52.59751381,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Chile
CHN,16.71445079,21.36418344,32.88153379,45.65904024,55.52225996,62.72756058,66.8630366,65.26553348,56.96893985,45.25803975,31.12497028,20.28464416,43.38619517,10.56,15.32,25.04,42.98,61.96,88.85,108.61,97.84,61.72,34.17,17.94,9.78,47.89782819,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,China
CIV,78.50658346,81.9922092,82.84365867,82.48423682,80.93734311,78.58712118,76.76708991,76.53987708,77.48246595,78.77828443,79.37902189,77.77642756,79.33948802,10.19,36.56,80.84,120.53,161.23,212.75,158.02,168.06,195.82,129.86,59.75,22.44,113.0068147,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,C̫te d'Ivoire
CMR,74.98442853,77.64753465,79.29331012,79.57846951,77.93659993,75.80488579,74.05740401,73.92424093,74.71306931,75.7101224,75.65746947,74.49452233,76.1501307,14.96,29.46,90.06,133.62,176.45,170.72,196.03,227.85,263.21,222.55,70.25,17.9,134.4226596,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Cameroon
COD,75.45474236,76.09977676,76.51911562,76.33914861,75.83174593,73.96608355,73.072071,74.31146502,75.34282506,75.69290159,75.43565197,75.17318801,75.2699063,126.53,122.87,165.64,160.85,110.15,61.84,63.28,91.91,126.66,170.88,181.15,153.29,127.91974,Dry,Dry,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,"Congo, the Democratic Republic of the"
COG,76.45536917,77.56523272,78.07134359,78.11048547,77.46628164,74.87847094,73.45120172,74.00722175,75.28103275,76.17519102,76.12924192,76.04747274,76.13658922,117.48,127.2,170.43,175.46,159.77,69.35,46.55,77.34,140.64,202.92,212.96,134.97,136.2542881,Dry,Dry,Rainy,Rainy,Rainy,Dry,Dry,Dry,Rainy,Rainy,Rainy,Dry,Congo
COL,76.31759193,76.96534039,77.25769517,76.5476339,75.83351297,75.00339349,74.82099838,75.27840172,75.58654997,75.72526134,75.8913839,75.89461616,75.92686128,111.63,116.88,165.63,255.56,303.01,293,260.7,245.24,234.02,270.67,218.03,144.21,218.2154319,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Colombia
COM,77.16740074,77.19260063,77.3653984,76.96939964,75.12260131,72.50540047,71.55139923,71.92400056,73.03999863,75.03259926,76.82539978,77.42659912,75.17659912,303.43,236.88,218.93,237.39,157.48,130.43,114.72,89.95,30.37,53.01,85.54,188.27,153.8661702,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Comoros
